% Created by Ralph Foorthuis, 2017
% See the following publication for use in anomaly detection research: Foorthuis, R.M. (2017). SECODA: Segmentation- and Combination-Based Detection of Anomalies. In: Proceedings of the 4th IEEE International Conference on Data Science and Advanced Analytics (DSAA 2017), Tokyo, Japan.
% www.foorthuis.nl

@relation Helix
@attribute x1 numeric
@attribute x2 numeric
@attribute x3 numeric
@attribute color {'Blue','Red'}
@data
-0.710759240851159,0.580371173057846,-10.0676688570968,'Blue'
-0.840020492658646,0.482565519971852,-9.32767989952202,'Blue'
-0.879079807242376,0.566916039933666,-10.3707862177504,'Blue'
-0.836872966694332,0.51781542751498,-10.4406680035843,'Blue'
-0.664794790956673,0.605276709958572,-9.41116765431576,'Blue'
-0.949788945007055,0.348259861626899,-10.0863051212055,'Blue'
-0.945120477325434,0.477670363742906,-10.1362313198574,'Blue'
-0.64395539714069,0.572399862433087,-10.8706653694956,'Blue'
-0.778800854815742,0.570892907234261,-12.4088413406144,'Blue'
-1.04113247715999,0.480010636840533,-10.474539466241,'Blue'
-0.688403974788898,0.652016237540957,-10.6078350370417,'Blue'
-0.742700420159494,0.507506476807487,-9.76636010907145,'Blue'
-0.994460670297545,0.602957649839515,-9.66288112433673,'Blue'
-0.916435766948824,0.534411516186222,-11.0355912648007,'Blue'
-0.712993733523877,0.641171886417174,-9.94457192890924,'Blue'
-0.796225951188347,0.601868005361061,-10.6504307818176,'Blue'
-0.754613175380832,0.466303760545662,-8.79131754211372,'Blue'
-0.908986584288648,0.483936899329483,-10.2172871039679,'Blue'
-0.845557756734839,0.39408916997175,-8.75339685710291,'Blue'
-0.791973164534097,0.619437453349487,-10.1898798960836,'Blue'
-0.938057981961129,0.301445754207438,-9.2541645398994,'Blue'
-1.04131420079201,0.0817032673116792,-9.62409828338124,'Blue'
-1.07173482303011,0.107024062876887,-11.1251531333267,'Blue'
-0.75790414333627,0.093920083563697,-10.5870339306848,'Blue'
-1.13049824686136,0.275254966910808,-9.9139582257734,'Blue'
-0.84083656670236,0.222305982398022,-10.5613224675061,'Blue'
-0.971937231510399,0.332515119089063,-10.0929213721701,'Blue'
-1.05750432639771,0.235324141700727,-8.38864160891632,'Blue'
-0.902238330667906,0.288554060710484,-9.38257838970707,'Blue'
-1.26381760362256,0.328422893083938,-10.9784587144271,'Blue'
-0.885416419501458,0.256192569064779,-10.8741521401151,'Blue'
-0.805470679966707,0.187962217706986,-8.8678896900185,'Blue'
-1.01263655740958,0.326462073380473,-9.07373520709348,'Blue'
-1.02415370186845,0.162956760702312,-10.0816771364326,'Blue'
-1.09750807784221,0.416941342216283,-9.62478028845174,'Blue'
-0.885456089015797,0.410458180068079,-9.22081651588172,'Blue'
