% Created by Ralph Foorthuis, 2017
% See the following publication for use in anomaly detection research: Foorthuis, R.M. (2017). SECODA: Segmentation- and Combination-Based Detection of Anomalies. In: Proceedings of the 4th IEEE International Conference on Data Science and Advanced Analytics (DSAA 2017), Tokyo, Japan.
% www.foorthuis.nl

@relation NoisyMix
@attribute x numeric
@attribute y numeric
@attribute z numeric
@attribute CodeColor {'Red','Blue','Olivedrab'}
@attribute CodeType {'p_3','s_0.3'}
@data
3.5602068312153,30.753412997969,5.91535573058233,'Red','p_3'
3.17424648669973,27.645924836326,6.05385558625582,'Red','p_3'
1.28435536918891,27.4731676694429,5.89035027357766,'Red','p_3'
2.14103695915298,26.3728520298366,6.14433485509163,'Red','p_3'
2.89846903272177,29.5536318622327,6.13785169294343,'Red','p_3'
-2.34594695313028,28.8942036761116,6.02516294094138,'Red','p_3'
2.87554503819868,28.3337815145606,6.14351673353492,'Red','p_3'
5.56412505254412,27.4441440785352,5.88003001107751,'Red','p_3'
1.03060690890903,28.2960758924825,5.96931520365506,'Red','p_3'
2.36460346805273,28.8452769169474,5.88471319515264,'Red','p_3'
0.815760185589519,25.5491396135111,5.82700060746364,'Red','p_3'
0.359450852017941,25.9289515469892,5.96218558654587,'Red','p_3'
5.06691104742561,25.7323918572913,6.18136169038895,'Red','p_3'
-0.522000505450738,28.452415107498,6.04691311965854,'Red','p_3'
3.82292469693426,27.6581803398062,6.01320899182394,'Red','p_3'
1.85641472481367,29.3113173901718,5.82655169394352,'Red','p_3'
0.572908301504008,27.8534527293468,6.02680730495128,'Red','p_3'
2.90189823745106,28.6519015144931,5.86287817152343,'Red','p_3'
-2.52179085686873,29.2499340000949,6.08269651997802,'Red','p_3'
3.15422690494779,28.1664791398075,6.22171646236373,'Red','p_3'
4.25840044273648,25.9532795048432,6.03604590772168,'Red','p_3'
1.74911082391096,27.1412598139659,5.97278222918947,'Red','p_3'
1.98007396326791,27.1856183257801,6.10717638765422,'Red','p_3'
0.398376568366367,26.2934487998327,5.98168063638447,'Red','p_3'
5.19028060911066,27.2568586945571,6.05640673023685,'Red','p_3'
4.66583699632269,27.8866556303431,6.08514627539209,'Red','p_3'
4.75573914395959,25.7722400434055,6.10234820992035,'Red','p_3'
6.14212698073923,27.7922288553089,5.90308274216455,'Red','p_3'
1.2518695912277,29.3881294299341,6.10976577868815,'Red','p_3'
6.01417420342852,27.2820185541437,5.88298667771114,'Red','p_3'
7.65841650553779,27.6644738370617,5.97034563800366,'Red','p_3'
5.01540416854277,24.6850117352214,6.02931288420904,'Red','p_3'
1.04652906114999,25.3067469008131,5.99592838354232,'Red','p_3'
4.12057213339442,29.1404484195147,6.22704179436744,'Red','p_3'
2.9428461537994,27.1053909953616,6.01660632506758,'Red','p_3'
4.89587847970619,26.2185478064066,6.21961420591005,'Red','p_3'
5.19366945029861,28.1794222495134,6.11183827155142,'Red','p_3'
2.45374589182112,26.2303916106299,5.98858668057725,'Red','p_3'
3.37070975547976,27.9163678764587,5.90448104340396,'Red','p_3'
4.24013670071459,25.0252268527206,5.99503759122043,'Red','p_3'
4.12694571319749,27.4023589640906,6.13245787584727,'Red','p_3'
3.64548316096975,26.5192824253078,5.96467747647829,'Red','p_3'
3.79725237839904,24.8996287323024,5.97755020843236,'Red','p_3'
