% Created by Ralph Foorthuis, 2017
% See the following publication for use in anomaly detection research: Foorthuis, R.M. (2017). SECODA: Segmentation- and Combination-Based Detection of Anomalies. In: Proceedings of the 4th IEEE International Conference on Data Science and Advanced Analytics (DSAA 2017), Tokyo, Japan.
% www.foorthuis.nl

@relation TimeSeries
@attribute Time numeric
@attribute AverageWage numeric
@data
1.8,3031.10852990169
1.881,2894.89498157535
1.962,2761.37057796045
2.043,2634.94874360765
2.124,2519.01218595604
2.205,2416.0509114453
2.286,2327.78696200567
2.367,2255.28685817559
2.448,2199.06267693428
2.529,2159.16263692008
2.61,2135.25201093391
2.691,2126.68513539839
2.772,2132.56923866053
2.853,2151.82076459491
2.934,2183.21482479245
3.015,2225.42837162002
3.096,2277.07764551967
3.177,2336.75041300256
3.258,2403.03347679817
3.339,2474.53590646749
3.42,2549.90840640348
3.501,2627.85920844861
3.582,2707.16684828818
3.663,2786.69015825995
3.744,2865.37578418785
3.825,2942.26351023829
3.906,3016.48965354653
3.987,3087.28876941077
4.068,3153.99388814201
4.149,3216.03548613489
4.23,3272.93937633223
4.311,3324.32368694318
4.392,3369.89508199072
4.473,3409.44436295923
4.554,3442.84157744219
4.635,3470.03074820582
4.716,3491.02432444543
4.797,3505.89744617384
4.878,3514.78210260588
4.959,3517.86125605053
5.04,3515.36299415493
5.121,3507.55476532719
5.202,3494.73774476179
5.283,3477.24137167058
5.364,3455.41809205059
5.445,3429.63833556747
5.526,3400.2857498707
5.607,3367.75271085487
5.688,3332.43612301471
5.769,3294.73352008251
5.85,3255.03947256183
5.931,3213.74230555631
6.012,3171.22112741447
6.093,3127.84316714926
6.174,3083.96141632337
6.255,3039.91256909904
6.336,2996.01525241449
6.417,2952.56853675089
6.498,2909.85071667654
6.579,2868.11834928212
6.66,2827.60553773736
6.741,2788.52344649029
6.822,2751.06003408134
6.903,2715.37998914263
6.984,2681.62485488545
7.065,2649.91332723396
7.146,2620.34171172935
7.227,2592.98452439549
7.308,2567.89522191419
7.389,2545.10704669648
7.47,2524.63397274618
7.551,2506.47173858569
7.632,2490.59895394361
7.713,2476.97826738063
7.794,2465.55758254973
7.875,2456.27131133988
7.956,2449.04165273507
8.037,2443.77988682601
8.118,2440.38767403545
8.199,2438.75835025429
8.28,2438.77820923109
8.361,2440.32776420676
8.442,2443.28298143661
8.523,2447.51647888903
8.604,2452.89868405125
8.685,2459.29894540521
8.766,2466.58659275686
8.847,2474.63194220945
8.928,2483.30724216189
9.009,2492.48755728632
9.09,2502.05158799253
9.171,2511.88242341902
9.252,2521.86822650104
9.333,2531.90285015273
9.414,2541.88638406359
9.495,2551.72563204715
9.576,2561.33452029298
9.657,2570.63443725961
9.738,2579.5545063071
9.819,2588.03179250284
9.9,2596.01144534243
9.981,2603.44677941043
10.062,2610.29929526221
10.143,2616.53864303925
10.224,2622.14253153627
10.305,2627.09658561981
10.386,2631.39415505479
10.467,2635.03607792932
10.548,2638.03040197832
10.629,2640.39206719522
10.71,2642.14255318788
10.791,2643.30949478122
10.872,2643.92626939585
10.953,2644.03155973974
11.034,2643.66889533969
11.115,2642.88617641232
11.196,2641.73518353091
11.277,2640.27107648595
11.358,2638.55188566489
11.439,2636.63799919058
11.52,2634.59164896011
11.601,2632.47639861652
11.682,2630.35663636653
11.763,2628.29707542847
11.844,2626.36226475804
11.925,2624.61611255446
12.006,2623.12142489953
12.087,2621.93946172481
12.168,2621.1295121419
12.249,2620.74849100537
12.33,2620.8505584104
12.411,2621.48676365726
12.492,2622.70471504344
12.573,2624.54827667268
12.654,2627.05729329831
12.735,2630.2673440479
12.816,2634.20952570688
12.897,2638.91026607205
12.978,2644.39116772176
13.059,2650.66888238884
13.14,2657.75501596583
13.221,2665.65606401951
13.302,2674.37337754483
13.383,2683.90315854603
13.464,2694.23648489687
13.545,2705.35936380189
13.626,2717.25281305705
13.707,2729.89296919169
13.788,2743.25122146389
13.869,2757.2943705794
13.95,2771.98481090925
14.031,2787.28073489452
14.112,2803.13635824714
14.193,2819.50216448469
14.274,2836.3251672737
14.355,2853.54918900096
14.436,2871.11515394508
14.517,2888.96139438173
14.598,2907.02396792469
14.679,2925.23698438219
14.76,2943.53294039255
14.841,2961.84306009577
14.922,2980.09764009812
15.003,2998.22639699414
15.084,3016.15881572549
15.165,3033.82449707821
15.246,3051.15350264839
15.327,3068.07669564191
15.408,3084.52607591548
15.489,3100.43510771394
15.57,3115.73903861237
15.651,3130.3752082302
15.732,3144.28334534907
15.813,3157.40585213445
15.894,3169.68807423475
15.975,3181.07855560892
16.056,3191.52927701462
16.137,3200.99587717371
16.218,3209.43785571921
16.299,3216.81875711811
16.38,3223.10633485702
16.461,3228.27269527158
16.542,3232.29442049689
16.623,3235.15267011261
16.704,2710
16.785,3237.32672626302
16.866,3236.6283498333
16.947,3234.73818213791
17.028,3231.66103147883
17.109,3227.40643453041
17.19,3221.98860512499
17.271,3215.42636182649
17.352,3207.74303472813
17.433,3198.96635199807
17.514,3189.12830678252
17.595,3178.26500515801
17.676,3166.41649590365
17.757,3153.62658293952
17.838,3139.942621349
17.919,3125.41529797034
18,3110.09839760585
18.081,3094.04855595578
18.162,3077.3250004378
18.243,3059.9892801019
18.324,3042.10498589468
18.405,3023.73746256516
18.486,3004.9535135381
18.567,2985.82110010829
18.648,2966.40903633153
18.729,2946.78668100508
18.81,2927.02362814073
18.891,2907.1893973393
18.972,2887.35312547491
19.053,2867.58326109062
19.134,2847.9472628959
19.215,2828.51130373789
19.296,2809.33998139592
19.377,2790.4960375195
19.458,2772.04008599599
19.539,2754.03035199451
19.62,2736.52242288804
19.701,2719.56901220576
19.782,2703.21973771303
19.863,2687.52091465712
19.944,2672.51536515291
20.025,2658.2422446147
20.106,2644.73688606801
20.187,2632.03066309941
20.268,2620.15087212297
20.349,2609.12063455889
20.43,2598.95881943463
20.511,2589.67998682995
20.592,2581.29435249694
20.673,2573.80777389326
20.754,2567.22175777201
20.835,2561.53348937643
